family	genome_group	genome_detail	ictv_genome_values	dictionary_status	source_release	source_url
Abyssoviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Ackermannviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Adamaviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Adenoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Aggregaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Ahmunviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Ahpuchviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Aliceevansviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alisviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Aliusviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alloherpesviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Allomimiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alphaflexiviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alphagokushoviridae	DNA	DNA virus; ssDNA(+)	ssDNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alphaormycoviridae	RNA	RNA virus; ssRNA	ssRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alphasatellitidae	DNA	DNA virus; ssDNA; ssDNA(+); ssDNA(+/-)	ssDNA; ssDNA(+); ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alphatetraviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alternaviridae	RNA	RNA virus; dsRNA	dsRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Altumviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Alvernaviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Amalgaviridae	RNA	RNA virus; dsRNA	dsRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Ambiguiviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Amesuviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Amnoonviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Ampullaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Anaerodiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Anamaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Andersonviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Anelloviridae	DNA	DNA virus; ssDNA(+/-); ssDNA(-)	ssDNA(+/-); ssDNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Anicreviridae	DNA	DNA virus; ssDNA(+/-)	ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Aoguangviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Apasviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Arenaviridae	RNA	RNA virus; ssRNA(+/-); ssRNA(-)	ssRNA(+/-); ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Arenbergviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Armatusviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Arteriviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Artiviridae	RNA	RNA virus; dsRNA	dsRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Artoviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Ascoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Asemoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Asfarviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Aspiviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
